day,price_close,price_high,price_low,price_open
2018-10-05,58.58,59.4,57.23,57.96
2018-10-04,57.93,58.89,57.01,57.18
2018-10-03,57.18,59.15,56.3,59.03
2018-10-02,58.99,61.31,58.59,60.21
2018-10-01,60.05,61.89,59.17,61.0
2018-09-30,60.83,62.72,59.48,61.04
2018-09-29,61.2,62.0,58.52,61.74
2018-09-28,61.62,64.65,60.14,63.33
2018-09-27,63.06,65.5,56.52,57.24
2018-09-26,57.25,59.71,56.41,57.47
2018-09-25,57.44,58.06,54.4,58.0
2018-09-24,57.93,61.37,57.15,61.12
2018-09-23,61.37,63.57,59.76,60.37
2018-09-22,60.53,61.75,58.0,60.86
2018-09-21,60.84,62.6,56.31,56.63
2018-09-20,56.5,57.45,53.44,54.25
2018-09-19,54.17,54.96,51.61,53.95
2018-09-18,53.86,55.39,50.57,52.02
2018-09-17,52.23,57.94,51.41,56.91
2018-09-16,56.76,57.44,54.5,56.42
2018-09-15,56.35,59.0,55.5,56.3
2018-09-14,56.3,58.96,52.92,54.64
2018-09-13,54.44,55.35,51.62,51.62
2018-09-12,51.66,52.07,47.05,51.91
2018-09-11,51.92,54.78,50.03,54.34
2018-09-10,54.3,56.61,52.93,54.84
2018-09-09,54.69,56.8,52.21,52.98
2018-09-08,52.95,57.25,51.62,55.63
2018-09-07,55.68,58.45,55.18,57.4
2018-09-06,57.31,57.89,53.73,57.71
2018-09-05,57.71,68.23,57.45,67.68
2018-09-04,67.6,69.4,65.34,65.36
2018-09-03,65.31,66.5,64.3,66.14
2018-09-02,66.12,67.0,64.21,66.44
2018-09-01,66.45,68.17,62.14,62.14
2018-08-31,62.15,62.73,59.51,60.35
2018-08-30,60.1,61.64,58.63,61.35
2018-08-29,61.44,63.36,60.19,63.16
2018-08-28,63.13,63.78,59.7,60.75
2018-08-27,60.63,61.11,56.58,57.03
2018-08-26,57.02,58.17,55.8,57.82
2018-08-25,57.94,58.31,57.09,57.98
2018-08-24,57.96,58.3,55.62,57.49
2018-08-23,57.25,57.85,54.91,55.18
2018-08-22,55.15,59.27,53.87,56.51
2018-08-21,56.47,56.9,53.3,53.51
2018-08-20,53.46,58.59,53.24,57.95
2018-08-19,57.9,59.1,56.31,57.07
2018-08-18,57.17,62.3,55.24,61.68
2018-08-17,61.78,62.09,55.24,55.35
2018-08-16,55.25,57.57,54.2,54.29
2018-08-15,54.39,59.37,53.91,54.31
2018-08-14,54.25,56.5,49.4,56.49
2018-08-13,56.5,60.6,55.68,59.35
2018-08-12,59.24,61.71,57.4,57.81
2018-08-11,57.79,59.84,55.15,59.11
2018-08-10,59.15,63.19,58.22,63.11
2018-08-09,62.98,64.98,60.1,62.12
2018-08-08,62.15,67.48,60.85,67.12
2018-08-07,67.37,75.15,66.71,73.63
2018-08-06,73.49,76.76,72.3,74.75
2018-08-05,74.75,74.75,72.34,73.05
2018-08-04,73.01,78.0,72.01,77.56
2018-08-03,77.67,77.89,74.89,76.23
2018-08-02,76.23,78.46,75.49,77.58
2018-08-01,77.71,78.9,75.94,78.85
2018-07-31,78.86,82.43,76.12,82.23
2018-07-30,82.23,84.82,79.79,83.82
2018-07-29,84.05,85.33,83.26,84.1
2018-07-28,84.2,84.78,82.35,84.58
2018-07-27,84.48,85.13,81.4,83.51
2018-07-26,83.51,87.94,82.89,86.46
2018-07-25,86.28,90.61,84.64,89.0
2018-07-24,89.27,89.7,80.78,81.42
2018-07-23,81.3,85.84,81.14,82.0
2018-07-22,82.34,84.08,81.61,83.38
2018-07-21,83.51,84.89,79.62,81.83
2018-07-20,81.64,86.47,81.0,85.96
2018-07-19,86.09,88.8,84.98,86.14
2018-07-18,86.06,94.36,85.1,89.1
2018-07-17,89.16,90.0,81.38,83.4
2018-07-16,83.75,83.98,77.65,78.51
2018-07-15,78.6,79.44,75.31,76.24
2018-07-14,76.23,77.59,75.45,76.69
2018-07-13,76.7,78.62,75.07,76.9
2018-07-12,76.9,78.29,74.11,78.29
2018-07-11,78.25,80.89,75.46,75.94
2018-07-10,75.87,80.57,74.37,80.51
2018-07-09,80.42,83.74,80.0,82.28
2018-07-08,82.28,85.66,81.83,84.97
2018-07-07,85.04,85.4,79.53,83.13
2018-07-06,83.13,84.1,80.65,83.31
2018-07-05,83.09,86.85,81.85,85.42
2018-07-04,85.24,89.16,83.34,84.99
2018-07-03,84.99,89.83,84.1,85.53
2018-07-02,85.42,86.86,78.14,79.92
2018-07-01,79.91,81.53,77.62,81.23
2018-06-30,81.2,84.29,79.11,79.13
2018-06-29,79.03,80.51,72.52,74.22
2018-06-28,74.28,81.38,74.0,80.78
2018-06-27,80.78,81.7,75.0,75.89
2018-06-26,76.01,82.43,75.4,81.65
2018-06-25,81.68,84.42,78.68,80.78
2018-06-24,80.75,83.68,73.52,83.23
2018-06-23,83.07,86.99,81.65,84.99
2018-06-22,84.96,96.87,80.38,96.7
2018-06-21,96.7,99.31,95.93,97.85
2018-06-20,97.92,98.95,95.5,98.8
2018-06-19,98.67,101.46,97.07,98.86
2018-06-18,98.67,99.8,92.96,95.02
2018-06-17,95.0,98.2,94.65,96.56
2018-06-16,96.46,97.67,93.0,95.69
2018-06-15,95.43,101.0,94.74,100.99
2018-06-14,100.99,103.0,92.75,93.59
2018-06-13,93.58,100.5,89.27,100.03
2018-06-12,100.1,107.99,97.66,107.17
2018-06-11,107.36,108.69,103.21,106.88
2018-06-10,106.85,117.22,103.43,117.22
2018-06-09,117.54,121.13,116.8,120.07
2018-06-08,120.19,122.06,118.41,121.33
2018-06-07,121.26,123.73,119.62,121.21
2018-06-06,121.21,122.71,118.4,122.42
2018-06-05,121.99,122.35,116.02,119.97
2018-06-04,119.91,126.6,118.2,125.44
2018-06-03,124.99,128.04,122.3,123.53
2018-06-02,123.52,124.27,118.56,120.24
2018-06-01,120.23,120.37,116.93,118.0
2018-05-31,118.1,120.93,116.4,117.19
2018-05-30,117.22,122.66,115.0,119.53
2018-05-29,118.9,122.47,108.25,111.13
