day,price_close,price_high,price_low,price_open
2018-10-16,205.69,208.26,201.99,204.52
2018-10-15,204.86,219.75,189.71,191.85
2018-10-14,192.01,199.5,187.45,196.96
2018-10-13,196.79,199.27,193.0,193.61
2018-10-12,194.67,197.89,186.89,188.2
2018-10-11,188.42,223.39,185.0,223.14
2018-10-10,223.38,226.47,221.11,226.29
2018-10-09,226.3,228.8,224.84,227.55
2018-10-08,227.79,230.98,222.2,225.06
2018-10-07,224.34,225.98,220.1,223.49
2018-10-06,223.06,227.19,222.0,226.54
2018-10-05,226.73,230.29,218.28,221.06
2018-10-04,221.07,225.0,218.12,219.01
2018-10-03,218.96,225.22,210.5,224.79
2018-10-02,224.83,230.74,221.39,230.38
2018-10-01,229.66,234.58,218.0,232.02
2018-09-30,231.96,238.47,224.0,230.14
2018-09-29,230.56,236.98,212.54,220.64
2018-09-28,220.94,233.65,214.32,228.53
2018-09-27,228.58,234.0,210.0,214.33
2018-09-26,214.42,223.0,207.21,219.4
2018-09-25,218.85,227.64,203.25,227.64
2018-09-24,228.05,245.76,224.5,244.44
2018-09-23,244.14,249.44,237.0,240.37
2018-09-22,239.93,255.89,232.6,247.58
2018-09-21,247.64,252.14,220.64,224.15
2018-09-20,224.3,227.68,206.8,209.52
2018-09-19,209.48,214.7,196.66,208.5
2018-09-18,208.53,214.39,194.0,196.0
2018-09-17,196.16,225.0,192.0,220.14
2018-09-16,220.08,223.0,205.62,221.39
2018-09-15,221.93,227.0,208.19,208.32
2018-09-14,208.71,223.91,202.53,211.25
2018-09-13,211.31,214.88,182.78,182.83
2018-09-12,182.78,184.82,167.0,184.8
2018-09-11,185.04,199.03,176.0,196.81
2018-09-10,196.66,202.77,186.44,195.73
2018-09-09,195.8,208.37,185.82,197.16
2018-09-08,197.16,220.38,190.11,214.77
2018-09-07,214.77,233.99,213.37,228.55
2018-09-06,229.03,259.48,210.79,227.99
2018-09-05,227.99,287.55,226.0,285.22
2018-09-04,285.22,292.29,281.99,288.69
2018-09-03,288.85,296.38,285.0,294.99
2018-09-02,294.75,299.16,288.78,295.11
2018-09-01,295.45,302.66,281.47,281.47
2018-08-31,281.49,284.93,276.23,283.89
2018-08-30,284.21,290.81,272.23,288.7
2018-08-29,288.34,297.04,284.0,295.47
2018-08-28,295.9,297.97,282.5,287.98
2018-08-27,287.99,288.25,271.3,274.2
2018-08-26,274.69,277.94,269.61,277.81
2018-08-25,277.99,283.14,276.2,281.07
2018-08-24,280.9,283.72,270.01,276.06
2018-08-23,275.72,280.65,268.17,270.45
2018-08-22,269.99,298.89,258.99,281.32
2018-08-21,281.25,285.71,269.73,271.01
2018-08-20,270.85,303.99,269.35,299.43
2018-08-19,299.97,306.65,289.13,293.83
2018-08-18,293.83,321.18,282.67,317.72
2018-08-17,317.43,318.53,285.11,286.63
2018-08-16,286.62,298.97,278.14,281.17
2018-08-15,281.17,305.76,276.87,278.24
2018-08-14,277.83,283.96,250.54,283.95
2018-08-13,283.95,321.86,281.07,318.47
2018-08-12,318.08,328.69,314.01,317.44
2018-08-11,317.5,332.84,305.2,331.58
2018-08-10,331.63,366.23,326.0,363.96
2018-08-09,363.52,370.43,350.84,355.61
2018-08-08,355.59,381.52,347.62,377.84
2018-08-07,378.3,410.67,369.22,404.93
2018-08-06,404.25,412.99,400.59,408.34
2018-08-05,408.97,413.58,400.36,406.54
2018-08-04,406.54,418.99,401.16,417.02
2018-08-03,416.91,419.88,397.41,410.53
2018-08-02,410.56,424.85,407.33,419.85
2018-08-01,420.06,434.41,407.49,432.15
2018-07-31,432.29,457.23,427.3,455.72
2018-07-30,456.97,469.06,445.5,465.77
2018-07-29,466.47,471.97,461.8,468.17
2018-07-28,469.0,472.0,461.11,469.78
2018-07-27,469.21,474.61,455.8,461.99
2018-07-26,461.98,484.14,459.57,471.14
2018-07-25,471.33,484.64,463.1,479.0
2018-07-24,479.58,483.24,448.01,449.73
2018-07-23,449.73,469.51,445.74,456.93
2018-07-22,457.0,471.51,453.0,460.73
2018-07-21,461.39,468.68,441.33,448.16
2018-07-20,447.34,469.66,441.0,468.15
2018-07-19,468.58,483.73,462.45,477.84
2018-07-18,479.47,514.94,469.06,498.34
2018-07-17,498.9,511.44,465.75,478.03
2018-07-16,478.0,480.0,444.02,449.7
2018-07-15,449.54,454.94,431.05,433.4
2018-07-14,433.37,439.99,428.2,432.92
2018-07-13,433.43,442.4,424.0,431.48
2018-07-12,430.57,445.92,417.37,444.91
2018-07-11,444.34,447.1,424.89,433.26
2018-07-10,433.24,473.48,426.95,471.83
2018-07-09,471.76,488.64,468.17,485.5
2018-07-08,485.52,495.48,481.92,484.64
2018-07-07,485.68,487.0,461.26,469.79
2018-07-06,469.99,477.0,450.08,467.98
2018-07-05,467.98,479.05,457.37,466.44
2018-07-04,466.99,482.2,451.06,461.22
2018-07-03,460.89,486.99,459.66,476.66
2018-07-02,475.63,481.7,443.28,452.05
2018-07-01,452.42,456.99,444.33,453.58
2018-06-30,453.84,463.0,435.04,435.05
2018-06-29,434.4,442.08,404.98,420.26
2018-06-28,420.51,443.67,417.0,441.05
2018-06-27,441.55,446.66,420.0,429.99
2018-06-26,429.73,461.65,428.87,458.48
2018-06-25,458.48,474.69,445.0,454.06
2018-06-24,455.27,476.42,421.0,474.84
2018-06-23,475.35,482.53,457.16,463.1
2018-06-22,462.86,526.27,449.91,525.15
2018-06-21,525.27,545.23,521.04,535.99
2018-06-20,536.3,542.29,516.97,537.44
2018-06-19,538.11,547.82,514.62,517.46
2018-06-18,517.04,524.54,487.3,497.49
2018-06-17,497.26,510.0,493.3,497.62
2018-06-16,497.84,502.82,483.16,487.78
2018-06-15,488.27,522.31,483.73,520.57
2018-06-14,520.57,527.97,460.25,475.89
2018-06-13,475.89,501.71,449.65,493.82
2018-06-12,494.16,540.56,485.0,530.88
2018-06-11,530.57,536.87,509.85,524.42
2018-06-10,526.28,591.68,504.0,591.52
